iteration,env_steps,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_0_reward_mean,policy_1_reward_mean,policy_2_reward_mean,policy_3_reward_mean,policy_4_reward_mean,policy_5_reward_mean
18,76000,30.260400000000004,101.63699999999986,9.186000000000002,375.4,4.451290000000001,4.668050000000001,5.9428100000000015,4.300970000000001,4.202510000000001,6.694770000000002
19,80000,25.508640000000003,78.37400000000004,9.186000000000002,310.29,3.45817,4.0232600000000005,4.9326300000000005,3.784590000000001,3.4196500000000007,5.890340000000001
20,84000,23.087580000000003,78.37400000000004,8.767999999999997,277.68,2.8436500000000002,3.5295300000000003,4.270580000000001,3.357230000000001,3.8525200000000006,5.234070000000002
21,88000,21.269020000000005,51.67200000000007,8.767999999999997,250.52,2.788540000000001,3.17544,3.81814,2.8719900000000007,3.29497,5.319940000000002
22,92000,20.0217,51.67200000000007,8.608999999999998,229.08,2.7339800000000003,2.682970000000001,3.5517999999999996,2.8089500000000003,3.2586500000000003,4.9853499999999995
23,96000,18.71593,47.70800000000004,7.847000000000001,209.29,2.22869,2.68443,3.13286,2.794570000000001,2.83822,5.03716
24,100000,17.81478,44.033000000000015,7.077,194.15,2.14139,2.23053,2.9419999999999997,3.18906,2.8783899999999996,4.43341
25,104000,16.68656,44.033000000000015,7.077,178.01,2.4568700000000008,2.02891,2.6729100000000003,2.9361299999999995,2.62317,3.96857
26,108000,16.13026,37.775000000000006,7.077,172.23,2.24665,2.6927400000000006,2.7257,2.4235,2.7263800000000007,3.31529
27,112000,15.990639999999999,33.545,7.077,166.86,2.3570300000000004,2.7408300000000003,2.63856,2.47431,2.910440000000001,2.8694700000000006
28,116000,16.69627,33.545,7.404999999999998,168.61,2.39209,2.9363100000000006,3.153,2.4525200000000003,2.8949900000000004,2.8673599999999997
29,120000,17.125,33.545,7.404999999999998,170.37,2.3339200000000004,3.3795200000000007,3.5569699999999993,2.723440000000001,2.4576800000000003,2.6734700000000005
30,124000,16.64233,33.545,8.673999999999998,161.52,2.5237100000000003,3.18816,4.0307,2.53162,2.10279,2.2653499999999998
31,128000,16.388759999999998,29.439999999999998,8.673999999999998,156.39,2.59204,3.0012100000000004,3.8389800000000003,2.47126,1.9062700000000001,2.579
32,132000,16.22007,27.90100000000001,8.673999999999998,152.11,2.99273,2.9249499999999995,3.36197,2.3003300000000007,2.0210799999999995,2.6190099999999994
33,136000,16.02181,28.219,8.673999999999998,147.57,3.174060000000001,3.48411,3.02012,1.8624,2.25304,2.2280800000000003
34,140000,15.9663,32.28800000000001,8.931,144.61,3.6536500000000007,3.0277200000000004,2.49398,1.61154,2.61796,2.5614500000000002
35,144000,14.99933,32.28800000000001,7.427000000000001,135.83,3.9071499999999997,2.7765000000000004,2.4255100000000005,1.5682200000000006,2.6234100000000002,1.69854
36,148000,14.58534,32.28800000000001,7.427000000000001,133.08,4.0798000000000005,2.6471200000000006,2.2507800000000002,1.0113400000000001,2.3809500000000003,2.2153500000000004
37,152000,14.086430000000002,24.444000000000006,7.427000000000001,127.85,4.24943,2.4663299999999997,1.73482,1.34573,2.3549,1.93522
38,156000,14.12608,24.444000000000006,7.902999999999999,127.2,4.9393,2.70833,1.85238,1.16125,1.6467700000000003,1.8180500000000002
39,160000,14.36712,25.441000000000003,7.902999999999999,128.05,4.826229999999999,1.7774899999999996,2.39228,1.82224,2.1228800000000003,1.4260000000000006
